Region,Region name,Year,Category,Symbol,Value,Label,Unit
BE,Belgium,2002,Other forage crops,B,0.17372600403946428,Symbiotic fixation,Gg N
BE,Belgium,2002,Pulses,B,0.28586410666666673,Symbiotic fixation,Gg N
BE,Belgium,2002,Temporary grassland,B,4.939144185661671,Symbiotic fixation,Gg N
BE,Belgium,2003,Forage legumes,B,0.849914500379866,Symbiotic fixation,Gg N
BE,Belgium,2003,Other forage crops,B,0.17710993879000825,Symbiotic fixation,Gg N
BE,Belgium,2003,Pulses,B,0.4715360000000001,Symbiotic fixation,Gg N
BE,Belgium,2003,Temporary grassland,B,4.916432372320364,Symbiotic fixation,Gg N
BE,Belgium,2004,Forage legumes,B,0.988939080452806,Symbiotic fixation,Gg N
BE,Belgium,2004,Other forage crops,B,0.18793852999174887,Symbiotic fixation,Gg N
BE,Belgium,2004,Pulses,B,0.37115886080000005,Symbiotic fixation,Gg N
BE,Belgium,2004,Temporary grassland,B,5.00788663811423,Symbiotic fixation,Gg N
BE,Belgium,2005,Forage legumes,B,1.4204775482295853,Symbiotic fixation,Gg N
BE,Belgium,2005,Other forage crops,B,0.2303591889543371,Symbiotic fixation,Gg N
BE,Belgium,2005,Pulses,B,0.31366189226666674,Symbiotic fixation,Gg N
BE,Belgium,2005,Temporary grassland,B,5.302597992584045,Symbiotic fixation,Gg N
BE,Belgium,2006,Forage legumes,B,1.6968683073085717,Symbiotic fixation,Gg N
BE,Belgium,2006,Other forage crops,B,0.22656744668257375,Symbiotic fixation,Gg N
BE,Belgium,2006,Pulses,B,0.24953671253333337,Symbiotic fixation,Gg N
BE,Belgium,2006,Temporary grassland,B,5.3493481801359914,Symbiotic fixation,Gg N
BE,Belgium,2007,Forage legumes,B,1.895839044344458,Symbiotic fixation,Gg N
BE,Belgium,2007,Other forage crops,B,0.2185371092168598,Symbiotic fixation,Gg N
BE,Belgium,2007,Pulses,B,0.23379044693333334,Symbiotic fixation,Gg N
BE,Belgium,2007,Temporary grassland,B,5.3048112008210575,Symbiotic fixation,Gg N
BE,Belgium,2008,Forage legumes,B,1.8548682326956123,Symbiotic fixation,Gg N
BE,Belgium,2008,Other forage crops,B,0.239027267969192,Symbiotic fixation,Gg N
BE,Belgium,2008,Pulses,B,0.23085221120000005,Symbiotic fixation,Gg N
BE,Belgium,2008,Temporary grassland,B,5.324358365096188,Symbiotic fixation,Gg N
BE,Belgium,2009,Forage legumes,B,1.9484619989710144,Symbiotic fixation,Gg N
BE,Belgium,2009,Other forage crops,B,0.25210313891552466,Symbiotic fixation,Gg N
