Region;Region name;Year;Symbol;Value;Label;Unit
SE;Sweden;1988;TG;0.889382;Temporary grassland;Mha
SE;Sweden;1989;C;2.636135;Cropland in use;Mha
SE;Sweden;1989;Csum;2.636135;Crop area sum;Mha
SE;Sweden;1989;Ctot;2.853;FAOSTAT cropland;Mha
SE;Sweden;1989;PG;0.565;Permanent grassland;Mha
SE;Sweden;1989;TG;0.9053260000000001;Temporary grassland;Mha
SE;Sweden;1990;C;2.6137980909090914;Cropland in use;Mha
SE;Sweden;1990;Csum;2.6137980909090914;Crop area sum;Mha
SE;Sweden;1990;Ctot;2.845;FAOSTAT cropland;Mha
SE;Sweden;1990;PG;0.568;Permanent grassland;Mha
SE;Sweden;1990;TG;0.9288460000000001;Temporary grassland;Mha
SE;Sweden;1991;C;2.426518181818182;Cropland in use;Mha
SE;Sweden;1991;Csum;2.426518181818182;Crop area sum;Mha
SE;Sweden;1991;Ctot;2.79;FAOSTAT cropland;Mha
SE;Sweden;1991;PG;0.568;Permanent grassland;Mha
SE;Sweden;1991;TG;0.946305;Temporary grassland;Mha
SE;Sweden;1992;C;2.4782202727272726;Cropland in use;Mha
SE;Sweden;1992;Csum;2.4782202727272726;Crop area sum;Mha
SE;Sweden;1992;Ctot;2.768;FAOSTAT cropland;Mha
SE;Sweden;1992;PG;0.576;Permanent grassland;Mha
SE;Sweden;1992;TG;1.037;Temporary grassland;Mha
SE;Sweden;1993;C;2.5214811636363637;Cropland in use;Mha
SE;Sweden;1993;Csum;2.5214811636363637;Crop area sum;Mha
SE;Sweden;1993;Ctot;2.78;FAOSTAT cropland;Mha
SE;Sweden;1993;PG;0.576;Permanent grassland;Mha
SE;Sweden;1993;TG;1.09;Temporary grassland;Mha
SE;Sweden;1994;C;2.553024054545455;Cropland in use;Mha
SE;Sweden;1994;Csum;2.553024054545455;Crop area sum;Mha
SE;Sweden;1994;Ctot;2.78;FAOSTAT cropland;Mha
SE;Sweden;1994;PG;0.576;Permanent grassland;Mha
SE;Sweden;1994;TG;1.0960999999999999;Temporary grassland;Mha
SE;Sweden;1995;C;2.4395819454545453;Cropland in use;Mha
SE;Sweden;1995;Csum;2.4395819454545453;Crop area sum;Mha
SE;Sweden;1995;Ctot;2.767;FAOSTAT cropland;Mha
SE;Sweden;1995;PG;0.5;Permanent grassland;Mha
SE;Sweden;1995;TG;1.0573;Temporary grassland;Mha
SE;Sweden;1996;C;2.490449836363636;Cropland in use;Mha
