,region,region name,year,symbol,label,unit,value
534,CY,Cyprus,2017,typ,metabolic typology,no unit,DSG
535,CY,Cyprus,2017,urb_typ,urban typology,no unit,URB
536,CY,Cyprus,2018,typ,metabolic typology,no unit,DSG
537,CY,Cyprus,2018,urb_typ,urban typology,no unit,URB
538,CY,Cyprus,2019,typ,metabolic typology,no unit,DSG
539,CY,Cyprus,2019,urb_typ,urban typology,no unit,URB
540,CZ,Czeckia,1990,typ,metabolic typology,no unit,MXF
541,CZ,Czeckia,1990,urb_typ,urban typology,no unit,
542,CZ,Czeckia,1991,typ,metabolic typology,no unit,MXF
543,CZ,Czeckia,1991,urb_typ,urban typology,no unit,
544,CZ,Czeckia,1992,typ,metabolic typology,no unit,MXF
545,CZ,Czeckia,1992,urb_typ,urban typology,no unit,
546,CZ,Czeckia,1993,typ,metabolic typology,no unit,DSG
547,CZ,Czeckia,1993,urb_typ,urban typology,no unit,
548,CZ,Czeckia,1994,typ,metabolic typology,no unit,DSG
549,CZ,Czeckia,1994,urb_typ,urban typology,no unit,
550,CZ,Czeckia,1995,typ,metabolic typology,no unit,DSG
551,CZ,Czeckia,1995,urb_typ,urban typology,no unit,
552,CZ,Czeckia,1996,typ,metabolic typology,no unit,DSG
553,CZ,Czeckia,1996,urb_typ,urban typology,no unit,
554,CZ,Czeckia,1997,typ,metabolic typology,no unit,DSG
555,CZ,Czeckia,1997,urb_typ,urban typology,no unit,
556,CZ,Czeckia,1998,typ,metabolic typology,no unit,DSG
557,CZ,Czeckia,1998,urb_typ,urban typology,no unit,
558,CZ,Czeckia,1999,typ,metabolic typology,no unit,DSG
559,CZ,Czeckia,1999,urb_typ,urban typology,no unit,
560,CZ,Czeckia,2000,typ,metabolic typology,no unit,DSG
561,CZ,Czeckia,2000,urb_typ,urban typology,no unit,
562,CZ,Czeckia,2001,typ,metabolic typology,no unit,DSG
563,CZ,Czeckia,2001,urb_typ,urban typology,no unit,
564,CZ,Czeckia,2002,typ,metabolic typology,no unit,DSG
565,CZ,Czeckia,2002,urb_typ,urban typology,no unit,
566,CZ,Czeckia,2003,typ,metabolic typology,no unit,DSG
567,CZ,Czeckia,2003,urb_typ,urban typology,no unit,
568,CZ,Czeckia,2004,typ,metabolic typology,no unit,SCS
569,CZ,Czeckia,2004,urb_typ,urban typology,no unit,
570,CZ,Czeckia,2005,typ,metabolic typology,no unit,DSG
571,CZ,Czeckia,2005,urb_typ,urban typology,no unit,
572,CZ,Czeckia,2006,typ,metabolic typology,no unit,DSG
573,CZ,Czeckia,2006,urb_typ,urban typology,no unit,
574,CZ,Czeckia,2007,typ,metabolic typology,no unit,DSG
575,CZ,Czeckia,2007,urb_typ,urban typology,no unit,
576,CZ,Czeckia,2008,typ,metabolic typology,no unit,DSG
577,CZ,Czeckia,2008,urb_typ,urban typology,no unit,
578,CZ,Czeckia,2009,typ,metabolic typology,no unit,DSG
579,CZ,Czeckia,2009,urb_typ,urban typology,no unit,
580,CZ,Czeckia,2010,typ,metabolic typology,no unit,DSG
581,CZ,Czeckia,2010,urb_typ,urban typology,no unit,
582,CZ,Czeckia,2011,typ,metabolic typology,no unit,SCS
583,CZ,Czeckia,2011,urb_typ,urban typology,no unit,
584,CZ,Czeckia,2012,typ,metabolic typology,no unit,SCS
585,CZ,Czeckia,2012,urb_typ,urban typology,no unit,
586,CZ,Czeckia,2013,typ,metabolic typology,no unit,SCS
587,CZ,Czeckia,2013,urb_typ,urban typology,no unit,
588,CZ,Czeckia,2014,typ,metabolic typology,no unit,SCS
589,CZ,Czeckia,2014,urb_typ,urban typology,no unit,
590,CZ,Czeckia,2015,typ,metabolic typology,no unit,SCS
591,CZ,Czeckia,2015,urb_typ,urban typology,no unit,
592,CZ,Czeckia,2016,typ,metabolic typology,no unit,SCS
593,CZ,Czeckia,2016,urb_typ,urban typology,no unit,
594,CZ,Czeckia,2017,typ,metabolic typology,no unit,SCS
595,CZ,Czeckia,2017,urb_typ,urban typology,no unit,
596,CZ,Czeckia,2018,typ,metabolic typology,no unit,SCS
597,CZ,Czeckia,2018,urb_typ,urban typology,no unit,
598,CZ,Czeckia,2019,typ,metabolic typology,no unit,SCS
599,CZ,Czeckia,2019,urb_typ,urban typology,no unit,
600,DE1,Baden-Würtenberg,1990,typ,metabolic typology,no unit,DSG
601,DE1,Baden-Würtenberg,1990,urb_typ,urban typology,no unit,
602,DE1,Baden-Würtenberg,1991,typ,metabolic typology,no unit,DSG
